Device_ID|CP_ID|event_type|target_id|name|start_time|end_time|duration|is_vod|monitory_value|classification|device_model_category|os_version|os_name|app_code|version|client_ip|region_name|country_name|search_keyword|band_name|stop_reason|error_id|page|age|age_grouping|user_profile|is_child
"||video_stop|1000118562|Onkar's Girlfriend Issues|2022-10-30 17:56:14 UTC||48|VOD|AVOD|EPISODE|mobile|11|Android|com.sonyliv|6.15.24|""""|Telangana|India|""""|""""|""""|NA|video player screen|25|25-34|108196457|"
"|181016182669883856|video_start||Forgive Or Forget|2022-10-30 17:02:57 UTC||0|VOD|SVOD|EPISODE|mobile|11|Android|com.sonyliv|6.15.24|""""|West Bengal|India|""""|""""|""""|NA|video player screen|21|18-24|69886583|"
"||video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"||video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"||video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"||video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"||video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"|19124343555117357111|video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"|13232567688777357111|video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
"|33743846355373333245|video_playback_completion_rate|1000118564|Forgive Or Forget|2022-10-30 18:04:03 UTC||0|VOD|SVOD|EPISODE|mobile|12|Android|com.sonyliv|6.15.24|""""|Delhi|India|""""|""""|""""|NA|video player screen|45|45-54|117361694|"
