,Device_ID,CP_ID,event_type,target_id,name,start_time,end_time,duration,is_vod,monitory_value,classification,os_version,version,client_ip,region,country,search_keyword,band_name,stop_reason,page,age,age_grouping,user_profile,classification1,new_monitory_value
0,"""",,video_stop,1000118562.0,Onkar's Girlfriend Issues,2022-10-30 17:56:14 UTC,,48,VOD,AVOD,EPISODE,11,6.15.24,"""""""""",Telangana,India,"""""""""","""""""""","""""""""",video player screen,25,25-34,108196457,sony episode,advertisement VOD
1,"""",181016182669883856,video_start,,Forgive Or Forget,2022-10-30 17:02:57 UTC,,0,VOD,SVOD,EPISODE,11,6.15.24,"""""""""",West Bengal,India,"""""""""","""""""""","""""""""",video player screen,21,18-24,69886583,sony episode,service VOD
2,"""",,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
3,"""",,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
4,"""",,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
5,"""",,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
6,"""",,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
7,"""",19124343555117357111,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
8,"""",13232567688777357111,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
9,"""",33743846355373333245,video_playback_completion_rate,1000118564.0,Forgive Or Forget,2022-10-30 18:04:03 UTC,,0,VOD,SVOD,EPISODE,12,6.15.24,"""""""""",Delhi,India,"""""""""","""""""""","""""""""",video player screen,45,45-54,117361694,sony episode,service VOD
